year,region,population,births,deaths
2004,Saitama,6967000,61946,44987
2004,Chiba,5967000,52983,41641
2004,Tokyo,12123000,99272,88767
2004,Kanagawa,8613000,79441,55425
2004,Niigata,2440000,19531,23511
2004,Toyama,1107000,9396,10396
2004,Ishikawa,1172000,10528,9976
2004,Fukui,814000,7283,7449
2004,Yamanashi,871000,7527,7842
2004,Nagano,2175000,19323,20501
2004,Gifu,2074000,18363,17705
2004,Shizuoka,3725000,33628,29809
2004,Aichi,7056000,70417,49457
2004,Mie,1833000,16287,16030
2004,Shiga,1351000,13627,9658
2004,Kyoto,2596000,22066,21129
2004,Osaka,8653000,79719,65160
2004,Hyogo,5508000,49789,44494
2004,Nara,1423000,11749,11124
2004,Wakayama,1045000,8153,10600
2004,Tottori,606000,5275,6166
2004,Shimane,744000,6104,8212
2004,Okayama,1938000,17655,17489
2004,Hiroshima,2852000,25734,24435
2004,Yamaguchi,1493000,12020,15702
2004,Tokushima,809000,6493,8367
2004,Kagawa,1012000,9068,9709
2004,Ehime,1471000,12057,14664
2004,Kochi,800000,6084,8723
2004,Fukuoka,5025000,45143,41144
2004,Saga,866000,7844,8214
2004,Nagasaki,1489000,12947,14187
2004,Kumamoto,1846000,16313,17076
2004,Oita,1208000,10024,11733
2004,Miyazaki,1158000,10267,10578
2004,Kagoshima,1764000,15198,18200
2004,Okinawa,1352000,16362,8610
2005,Japan,126204902,1062530,1083796
2005,Hokkaido,5612068,41420,49982
2005,Aomori,1432727,10524,14882
2005,Iwate,1379659,10545,14638
2005,Miyagi,2348339,19326,19765
2005,Akita,1141865,7697,13061
2005,Yamagata,1209795,9357,13255
2005,Fukushima,2081248,17538,20981
2005,Ibaraki,2937843,24244,25839
2005,Tochigi,1990257,17363,18091
2005,Gunma,1989184,17134,18546
2005,Saitama,6974003,59731,48095
2005,Chiba,5983085,50588,44021
2005,Tokyo,12325038,96542,93599
2005,Kanagawa,8675683,76196,58801
2005,Niigata,2420575,18505,24396
2005,Toyama,1101133,8973,10861
2005,Ishikawa,1166366,10049,10376
2005,Fukui,810772,7148,7772
2005,Yamanashi,870939,7149,8291
2005,Nagano,2161328,18517,21369
2005,Gifu,2070404,17706,18511
2005,Shizuoka,3721561,31908,31747
2005,Aichi,7103849,67110,52536
2005,Mie,1832672,15345,17154
2005,Shiga,1357591,12899,10419
2005,Kyoto,2601322,21560,22134
2005,Osaka,8640236,76111,68648
2005,Hyogo,5504338,47273,46657
2005,Nara,1412450,11184,11880
2005,Wakayama,1030942,7835,11251
2005,Tottori,603156,5012,6303
2005,Shimane,737753,5697,8557
2005,Okayama,1942414,16688,18428
2005,Hiroshima,2849333,24740,25579
2005,Yamaguchi,1480129,11514,16522
2005,Tokushima,805743,5913,8609
2005,Kagawa,1006383,8686,10265
2005,Ehime,1461038,11528,15469
2005,Kochi,793365,5916,9119
2005,Fukuoka,5011273,43421,42675
2005,Saga,863046,7508,8546
2005,Nagasaki,1472955,12148,14866
2005,Kumamoto,1835575,15645,17906
2005,Oita,1202682,9780,12160
2005,Miyazaki,1149818,9738,11167
2005,Kagoshima,1748272,14834,18980
2005,Okinawa,1354695,16115,9021
2006,Japan,126154000,1092674,1084451
2006,Hokkaido,5585000,42204,50229
2006,Aomori,1419000,10556,14733
2006,Iwate,1370000,10556,14552
2006,Miyagi,2343000,19706,19796
2006,Akita,1130000,7726,13558
2006,Yamagata,1201000,9513,13231
2006,Fukushima,2070000,17541,20528
2006,Ibaraki,2934000,25128,26061
2006,Tochigi,1988000,17647,17947
2006,Gunma,1985000,17061,18061
2006,Saitama,6989000,61201,48579
2006,Chiba,5999000,51762,44778
2006,Tokyo,12405000,101674,93596
2006,Kanagawa,8710000,79118,58898
2006,Niigata,2408000,18985,23939
2006,Toyama,1098000,8965,10963
2006,Ishikawa,1163000,10235,10294
2006,Fukui,808000,7324,7725
2006,Yamanashi,867000,7094,8380
2006,Nagano,2154000,18775,21117
2006,Gifu,2064000,18092,18638
2006,Shizuoka,3719000,32905,32001
2006,Aichi,7136000,69999,52294
2006,Mie,1832000,15816,17156
2006,Shiga,1363000,13448,10507
2006,Kyoto,2598000,22100,22419
2006,Osaka,8642000,77641,69007
2006,Hyogo,5506000,48771,46476
2006,Nara,1407000,11476,11684
2006,Wakayama,1023000,7930,11031
2006,Tottori,600000,5186,6328
2006,Shimane,732000,6011,8453
2006,Okayama,1938000,17279,18317
2006,Hiroshima,2846000,25330,25722
2006,Yamaguchi,1471000,11692,16415
2006,Tokushima,801000,6257,8721
2006,Kagawa,1003000,8664,10241
2006,Ehime,1453000,11752,15335
2006,Kochi,787000,6015,8927
2006,Fukuoka,5015000,45304,43270
2006,Saga,859000,7647,8447
2006,Nagasaki,1461000,12410,14941
2006,Kumamoto,1829000,16189,18084
2006,Oita,1199000,10156,12092
2006,Miyazaki,1145000,10094,11138
2006,Kagoshima,1738000,15080,18828
2006,Okinawa,1361000,16483,9121
2007,Japan,126085000,1089818,1108334
2007,Hokkaido,5553000,41550,51456
2007,Aomori,1403000,10162,14968
2007,Iwate,1359000,10344,14768
2007,Miyagi,2336000,19810,20347
2007,Akita,1117000,7502,13743
2007,Yamagata,1192000,9139,13242
2007,Fukushima,2057000,17101,21339
2007,Ibaraki,2929000,24829,26244
2007,Tochigi,1985000,17233,18184
2007,Gunma,1980000,16817,18498
2007,Saitama,7003000,60818,50134
2007,Chiba,6019000,51821,45473
2007,Tokyo,12488000,103837,96354
2007,Kanagawa,8754000,79193,61093
2007,Niigata,2394000,18724,25126
2007,Toyama,1093000,8728,11194
2007,Ishikawa,1161000,10294,10717
2007,Fukui,804000,7191,7886
2007,Yamanashi,863000,6988,8347
2007,Nagano,2145000,18618,21910
2007,Gifu,2059000,17696,18910
2007,Shizuoka,3717000,33274,32507
2007,Aichi,7173000,70218,53618
2007,Mie,1831000,15716,17141
2007,Shiga,1369000,13343,10649
2007,Kyoto,2591000,21597,22619
2007,Osaka,8641000,76914,70283
2007,Hyogo,5505000,48685,47877
2007,Nara,1401000,11261,11902
2007,Wakayama,1015000,7689,11256
2007,Tottori,596000,5015,6601
2007,Shimane,726000,5914,8660
2007,Okayama,1935000,17099,18325
2007,Hiroshima,2842000,25887,26070
2007,Yamaguchi,1462000,11714,16736
2007,Tokushima,796000,6011,8484
2007,Kagawa,999000,8701,10428
2007,Ehime,1445000,11753,15427
2007,Kochi,779000,5717,9071
2007,Fukuoka,5016000,46393,43919
2007,Saga,856000,7703,8787
2007,Nagasaki,1447000,12175,15310
2007,Kumamoto,1820000,16307,18375
2007,Oita,1196000,10162,12188
2007,Miyazaki,1139000,10337,11361
2007,Kagoshima,1726000,15090,19493
2007,Okinawa,1366000,16588,9399
2008,Japan,125947000,1091156,1142407
2008,Hokkaido,5517000,41074,52955
2008,Aomori,1388000,10187,15400
2008,Iwate,1347000,10223,15026
2008,Miyagi,2329000,19863,20657
2008,Akita,1105000,7421,13638
2008,Yamagata,1182000,9164,13719
2008,Fukushima,2043000,16908,21583
2008,Ibaraki,2923000,24592,27466
2008,Tochigi,1981000,17240,18437
2008,Gunma,1975000,17044,18935
2008,Saitama,7019000,60520,51730
2008,Chiba,6039000,52306,47149
2008,Tokyo,12552000,106015,98248
2008,Kanagawa,8784000,79179,63771
2008,Niigata,2380000,18388,24889
2008,Toyama,1088000,8709,11635
2008,Ishikawa,1158000,10199,11012
2008,Fukui,801000,7139,8088
2008,Yamanashi,857000,6908,8736
2008,Nagano,2135000,18129,22692
2008,Gifu,2053000,17506,19478
2008,Shizuoka,3712000,32701,34511
2008,Aichi,7203000,71029,56036
2008,Mie,1828000,15633,17904
2008,Shiga,1375000,13487,11110
2008,Kyoto,2587000,21842,23015
2008,Osaka,8639000,77400,72930
2008,Hyogo,5504000,48833,49074
2008,Nara,1395000,10981,12368
2008,Wakayama,1007000,7866,11679
2008,Tottori,591000,4878,6682
2008,Shimane,720000,5685,9011
2008,Okayama,1930000,17044,19393
2008,Hiroshima,2836000,25560,27150
2008,Yamaguchi,1452000,11560,16900
2008,Tokushima,790000,5893,8882
2008,Kagawa,996000,8600,10645
2008,Ehime,1436000,11561,15777
2008,Kochi,771000,5788,9452
2008,Fukuoka,5013000,46695,45134
2008,Saga,852000,7819,8983
2008,Nagasaki,1434000,12173,15697
2008,Kumamoto,1813000,16462,18951
2008,Oita,1192000,10306,12641
2008,Miyazaki,1133000,10292,11932
2008,Kagoshima,1713000,15445,19943
2008,Okinawa,1369000,16736,9492
2009,Japan,125820000,1070036,1141865
2009,Hokkaido,5489000,40165,53221
2009,Aomori,1375000,9524,15387
2009,Iwate,1335000,9904,15410
2009,Miyagi,2324000,18988,20808
2009,Akita,1093000,7013,13866
2009,Yamagata,1173000,8715,13729
2009,Fukushima,2030000,16326,21568
2009,Ibaraki,2920000,24209,27807
2009,Tochigi,1977000,17004,18777
2009,Gunma,1970000,16310,19421
2009,Saitama,7041000,59725,52374
2009,Chiba,6060000,51839,47819
2009,Tokyo,12596000,106613,98304
2009,Kanagawa,8815000,78057,63745
2009,Niigata,2367000,17948,25148
2009,Toyama,1082000,8426,11480
2009,Ishikawa,1156000,9849,11246
2009,Fukui,798000,7042,8187
2009,Yamanashi,853000,6621,8586
2009,Nagano,2126000,17310,22130
2009,Gifu,2044000,17327,19402
2009,Shizuoka,3705000,31901,34209
2009,Aichi,7220000,69768,55189
